census_block_group,B01001e1,state_fips,county_fips,census_tract_fips
131171304062,2482,13,13117,13117130406
131171304063,1439,13,13117,13117130406
131171304081,2289,13,13117,13117130408
131171304082,1190,13,13117,13117130408
131171304091,854,13,13117,13117130409
131171304092,1992,13,13117,13117130409
131171304101,737,13,13117,13117130410
131171304102,1925,13,13117,13117130410
131171304103,1860,13,13117,13117130410
131171305031,1632,13,13117,13117130503
131171305032,956,13,13117,13117130503
131171305041,1979,13,13117,13117130504
131171305042,1837,13,13117,13117130504
131171305051,1140,13,13117,13117130505
131171305052,1650,13,13117,13117130505
131171305061,1345,13,13117,13117130506
131171305062,2260,13,13117,13117130506
131171305071,918,13,13117,13117130507
131171305072,1463,13,13117,13117130507
131171305081,2224,13,13117,13117130508
131171305082,3074,13,13117,13117130508
131171305091,2268,13,13117,13117130509
131171305092,1463,13,13117,13117130509
131171305101,2222,13,13117,13117130510
131171305102,2023,13,13117,13117130510
131171305103,2179,13,13117,13117130510
131171306011,2819,13,13117,13117130601
131171306012,857,13,13117,13117130601
131171306013,1278,13,13117,13117130601
131171306021,2857,13,13117,13117130602
131171306022,2958,13,13117,13117130602
131171306031,3165,13,13117,13117130603
131171306032,1311,13,13117,13117130603
131171306033,982,13,13117,13117130603
131171306041,2522,13,13117,13117130604
131171306042,965,13,13117,13117130604
131171306043,1518,13,13117,13117130604
131171306051,1533,13,13117,13117130605
131171306052,2771,13,13117,13117130605
131171306061,1788,13,13117,13117130606
131171306062,2889,13,13117,13117130606
131171306071,2174,13,13117,13117130607
131171306072,659,13,13117,13117130607
131171306073,2726,13,13117,13117130607
131171306081,3360,13,13117,13117130608
131171306082,1873,13,13117,13117130608
131171306083,857,13,13117,13117130608
131171306091,3176,13,13117,13117130609
131171306092,1264,13,13117,13117130609
131171306093,1397,13,13117,13117130609
131171306101,1199,13,13117,13117130610
131171306102,2045,13,13117,13117130610
131171306103,1462,13,13117,13117130610
131171306111,1160,13,13117,13117130611
131171306112,3009,13,13117,13117130611
131171306121,2255,13,13117,13117130612
131171306122,782,13,13117,13117130612
131171306123,3390,13,13117,13117130612
131171306131,1437,13,13117,13117130613
131171306132,1944,13,13117,13117130613
